index,year,name,default,old,young,gender,nation,glass,zodiac,educationGeneral,educationDegree,educationGeneral_U1,educationGeneral_A1,educationGeneral_U2,educationGeneral_A2,educationGeneral_U3,educationGeneral_A3,educationAbroad,educationAbroad_img,educationAbroad_O,educationAbroad_U1,educationAbroad_A1,educationAbroad_U2,educationAbroad_A2,educationAbroad_U3,educationAbroad_A3,otherCareer,otherCareer_O1,otherCareer_role1_r,otherCareer_role1_b,otherCareer_role1_g,otherCareer_O2,otherCareer_role2_r,otherCareer_role2_b,teach,travel,travel_O1,travel_location1,travel_O2,travel_works,travel_O3,travel_figures,travel_O4,travel_location2,travel_O5,work,age,corbu,esTime,thingsDone_studied,thingsDone_worked,thingsDone_traveled,thingsDone_taught,thingsDone_O1,wonTime
10,2013,Toyo Ito,2013,2013,2013,Male,Japan,glass,Gemini,Y,B.Arch,University of Tokyo,"(Tokyo, Japan, graduated in 1965)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had wanted to be ,a baseball player.,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2013,NA,6,,"worked,",,,before established his own practice.,42
11,2012,Wang Shu,2012,2012,2012,Male,China,glass,Scorpio,Y,D.Arch,Southeast University,"(Nanjing, China, graduated in 1985, 1988)",  ->  Tongji University,"(Shanghai, China, graduated in 2000)",,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2012,NA,12,"studied,","worked,",,"taught,",before established his own practice.,15
12,2011,Eduardo Souto de Moura,2011,2011,2011,Male,Portugal,glass,Leo,Y,B.Arch,University of Porto,"(Porto, Portugal, graduated in 1980)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,began as an art student studying ,sculpture.,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2011,NA,0,,,,,"had worked as a student, and established his own practice the same year with graduation.",31
13,2010,Kazuyo Sejim ,2010_1,2010_1,2010_1,Female,Japan,glass,Aquarius,Y,M.Arch,Japan Women's University,"(Tokyo, Japan, graduated in 1979)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2010_1,NA,8,"studied,","worked,",,,"before established her own practice in 1987, and establish SANAA with  Ryue Nishizawa in 1995.",23
14,2010,Ryue Nishizawa,2010_2,2010_2,2010_2,Male,Japan,eye,Scorpio,Y,B.Arch,Yokohama National University,"(Yokohama, Japan)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2010_2,NA,7,,"worked,",,,"before established SANAA with Kazuyo Sejim in 1995, and establish Office of Ryue Nishizawa in 1997.",15
15,2009,Peter Zumthor,2009,2009,2009,Male,Switzerland,eye,Taurus,N,NA,Pratt Institute,"(New York, United States)",,,,,Y,SwitzerlandToUS,,Pratt Institute,"(New York, United States)",,,,,Y,had trained as,,,a cabinet maker.,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2009,NA,13,,"worked,",,,before established his own practice.,30
16,2008,Jean Nouvel,2008,2008,2008,Male,France,eye,Leo,Y,B.Arch,PSL Research University,"(Paris, France)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had reached a compromise with parents to study architecture instead of ,art,,,,,,N,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2008,NA,0,,,,,established his own practice the same year with graduation.,38
17,2007,Richard Rogers,2007,2007,2007,Male,Italy (United Kingdom),eye,Leo,Y,M.Arch,Epsom School of Art,"(Now University for the Creative Arts, Epsom, United Kingdom)",  ->  Architectural Association School of Architecture,"(London, United Kingdom, 1954 - 1959)",  ->  Yale University,"(New Haven, United States, graduated in 1962)",Y,ukToUS,,Yale University,"(New Haven, United States, graduated in 1962)",,,,,NA,didn't mention about other career in the biography.,,,,,,,N,Y,had made a number of trips across,the United States ,"while in Yale,  seeing"," the works of  Frank LIoyd Wright, Mies vaan der Rohe, Louis Kahn", and etc.,,,,,Y,2007,NA,4,"studied,",,"traveled,",,before established his own practice.,44
18,2006,Paulo Mendes da Rocha,2006,2006,2006,Male,Brazil,eye,Scorpio,Y,B.Arch,Mackenzie Presbyterian University,"(Sao Paulo, Brazil, 1954)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2006,NA,1,,,,,established his own practice the following year of graduation.,51
19,2005,Thom Mayne,2005,2005,2005,Male,United States,glass,Capricorn,Y,M.Arch,University of Southern California,"(Los Angeles, United States, 1968)",  ->  Harvard University ,"(GSD, Cambridge, United States, 1978)",,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2005,NA,4,,"worked,",,"taught,","co-created Southern California Institute of Architecture, before established his own practice.",33
